Stkcd,Mom,R_M12,R_M3,R_M6,R_M9,R_t12,R_t6
2268,65.27953466,29.786085150773697,-24.38517250309757,-5.169414920101623,-3.406995596978435,57.06497650779002,17.6968649015842
2269,-9.919394387999999,-22.251879698975,-0.6849298869289977,-11.854058068520231,-22.042956035943323,-10.875149613158307,2.127740204125584
2271,-5.391000599,-21.69601016484901,-29.247852040999398,-27.30025689529402,-24.680334468460888,7.3984331579144635,-2.7701467196313057
2272,-34.0298431,-36.7164117735819,-14.516099992462161,-26.132347447539072,-37.920890161495116,-32.62197398584132,-28.362986136654293
2273,-8.173444776,-18.49603515521947,-16.595812026854393,-28.722816334182852,-34.164943325918195,-6.12580442136953,-25.417963377305387
2274,-16.81403533,-23.514415227264646,-11.678775380004769,-16.204858132259325,-27.97607060067947,-7.362529211358515,-10.960627216165298
2275,-5.669091807999999,-15.507239547395391,-6.418710126828964,-7.631790072759327,-11.926678590979336,-2.158284067395233,2.8060467891189105
2276,-33.8778848,-41.668723027575695,-25.605092271003823,-32.25054870479948,-49.21735838185202,-32.81245916254601,-29.046067048956214
2277,-14.88351525,-27.803601819318715,-7.605992271839768,-20.670140254136992,-31.31760889633544,-13.814537317621223,-8.95510029112434
2278,-12.53734455,-33.23389509440875,-45.579875073017185,-53.40275233202341,-31.87818168986706,-22.623275585408894,-32.64361736264021
2279,-11.47402174,-21.03580117545343,-24.00307070004808,-3.7863719204192186,-18.969658771922468,-13.13521171942259,6.8270281871139575
2280,-41.73302482,-47.18110353132188,-18.402231843639427,-25.326375261197352,-35.29417479641924,-51.2724939946628,-30.43005899168243
2281,9.143172776,-3.9104598313488,-25.68354503869061,-27.37716250665223,-16.006667674964593,11.913335644033827,-17.8189666785485
2282,-42.34330449,-50.607757567621725,-20.500795165358426,-27.89217801824996,-45.435095520014755,-44.26702013559394,-21.35285314885568
2283,-27.65622627,-38.12502142123897,-22.2004138080675,-30.76926923723734,-39.99996927901355,-29.331491036603165,-19.337943580857047
2284,-39.27925767,-46.97366869807173,-24.150506464889165,-34.455184184023715,-50.58000994615218,-34.61420448011888,-26.73908011917243
2285,-3.0522693760000004,-21.05682022082133,-33.842798857865105,-43.217521543182926,-45.74769476854728,2.5753524916312327,-41.88932006708365
2286,-27.05188004,-24.93032987018077,-15.751455973430696,-4.593303022578299,-22.17249597110724,-26.04366407696611,-11.643928973189555
2287,-22.35716511,-29.283837692865692,-11.196717304524848,-15.023509428119375,-26.57475687848168,-17.649680026728653,-14.451860528777358
2288,-29.55512632,-39.02432624011257,-19.354863905698394,-25.176026575356715,-38.31638241316235,-25.830705848595525,-15.344779899619432
2289,,,16.725671378796527,-15.153886027122152,,,
2290,-26.99555318,-31.8096854197392,-3.0328511411300885,-13.92292034059306,-31.30737399818691,-31.46437438629621,-14.672224435215366
2291,-62.69843459,-68.38625189061753,-25.07835862824195,-31.908845981300054,-52.81340496320456,-66.70604017848984,-24.295332027109037
2292,-29.4082092,-47.159715060536925,-28.61712642997661,-37.50875211055561,-39.824790892827046,-20.056349943592,-17.152781177560747
2293,58.28092835,34.02611717083206,2.0557949707422862,3.779711782127748,39.50412390150988,65.66916552383992,46.75565887511282
2294,22.3213464,6.2557830829035765,-12.492301234342994,-16.15218210567029,22.584309304652876,38.03731530387358,21.537497028412584
2295,-42.65131368,-50.645605857353324,-24.80359077245491,-42.09306563954643,-46.14472928872422,-34.96733524830583,-36.21794104805931
2296,-36.64190765,-40.8163189272401,-6.038289939357666,-14.477209554513149,-39.697602028542796,-35.07601240269049,-21.222614407520044
2297,,,-31.9553085376078,,,,
2298,-28.43152081,-34.803405648069194,-19.40636426438948,-21.380801044142935,-36.2815506318524,-28.431520808710275,-16.396979986429784
2299,3.160649607,4.169354438506079,11.760441344983304,7.569389592407472,1.1095953501934819,17.99989640997066,7.422913920834517
2300,-41.03814304,-52.58735573403095,-33.41466694218751,-39.198241312934414,-48.53910716778515,-33.674986343022645,-24.21881673416648
2302,-36.67107729,-51.177896940853046,-30.168733266043162,-38.22002613730929,-40.82090862135435,-14.044919778450437,-21.256215245354678
2303,-26.40435445,-29.85827169464405,-17.323782959375567,-22.874831966539663,-36.559739648745705,-22.38272040261291,-27.002469572927772
2304,65.5108573,54.36651474195661,24.090771469088267,16.52667378712045,32.02520173511054,68.82752936564779,38.19375570900273
